begin,open,close,high,low,value,volume
2024-05-30 14:00:00,319.79 ,319.24 ,320.13 ,319.09 ,"410,740,577 ","1,285,340 "
2024-05-30 15:00:00,319.25 ,318.87 ,320.20 ,318.86 ,"562,453,317 ","1,760,370 "
2024-05-30 16:00:00,318.86 ,318.50 ,318.87 ,317.51 ,"984,892,219 ","3,094,710 "
2024-05-30 17:00:00,318.50 ,317.24 ,318.57 ,317.22 ,"633,436,338 ","1,992,470 "
2024-05-30 18:00:00,317.23 ,318.00 ,318.00 ,316.80 ,"991,681,130 ","3,125,290 "
2024-05-30 19:00:00,317.50 ,317.18 ,317.87 ,317.00 ,"403,313,201 ","1,270,170 "
2024-05-30 20:00:00,317.20 ,316.52 ,317.20 ,316.00 ,"724,032,604 ","2,287,740 "
2024-05-30 21:00:00,316.51 ,316.70 ,317.18 ,316.48 ,"326,512,758 ","1,030,720 "
2024-05-30 22:00:00,316.68 ,316.38 ,316.96 ,316.31 ,"272,679,960 ","861,360 "
2024-05-30 23:00:00,316.33 ,316.63 ,316.63 ,316.00 ,"450,785,838 ","1,425,260 "
2024-05-31 09:00:00,316.00 ,316.00 ,316.00 ,316.00 ,"22,508,680 ","71,230 "
2024-05-31 10:00:00,316.50 ,316.11 ,318.00 ,315.10 ,"2,043,496,155 ","6,453,460 "
2024-05-31 11:00:00,316.14 ,318.08 ,318.49 ,316.04 ,"1,277,507,864 ","4,023,200 "
2024-05-31 12:00:00,318.11 ,317.20 ,318.27 ,317.00 ,"571,991,741 ","1,800,130 "
2024-05-31 13:00:00,317.19 ,315.55 ,317.28 ,315.49 ,"1,044,736,225 ","3,305,010 "
2024-05-31 14:00:00,315.55 ,316.68 ,317.00 ,315.40 ,"1,030,940,455 ","3,258,210 "
2024-05-31 15:00:00,316.69 ,316.44 ,317.80 ,316.44 ,"499,299,943 ","1,574,730 "
2024-05-31 16:00:00,316.45 ,316.22 ,317.36 ,316.22 ,"348,869,454 ","1,101,410 "
2024-05-31 17:00:00,316.22 ,316.05 ,316.42 ,315.70 ,"527,511,764 ","1,669,020 "
2024-05-31 18:00:00,316.06 ,314.48 ,316.15 ,314.15 ,"1,377,186,500 ","4,370,650 "
2024-05-31 19:00:00,314.48 ,313.50 ,314.88 ,311.45 ,"2,047,095,735 ","6,535,410 "
2024-05-31 20:00:00,313.50 ,311.69 ,313.50 ,310.80 ,"1,383,879,743 ","4,437,540 "
2024-05-31 21:00:00,311.69 ,310.69 ,311.74 ,309.80 ,"1,556,433,932 ","5,010,590 "
2024-05-31 22:00:00,310.69 ,312.42 ,313.76 ,310.51 ,"1,220,077,283 ","3,911,690 "
2024-05-31 23:00:00,312.41 ,313.11 ,313.98 ,312.41 ,"527,506,901 ","1,684,170 "
2024-06-03 09:00:00,313.50 ,313.50 ,313.50 ,313.50 ,"32,735,670 ","104,420 "
2024-06-03 10:00:00,313.50 ,311.99 ,315.50 ,310.81 ,"2,449,966,679 ","7,815,710 "
2024-06-03 11:00:00,311.94 ,311.75 ,313.58 ,311.08 ,"1,225,833,876 ","3,925,790 "
